"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008083","GO:0008083","growth factor activity","34/1481","162/18089",0.000000270339084187704,0.0000253381450725021,0.0000222997407243828,"CSF1/TGFB2/EFEMP1/INHBB/IL12A/CXCL1/BTC/FGF5/VEGFC/CSF2/NRG2/HBEGF/PDGFA/IL6/INHBA/HGF/FGF20/NRG1/IL7/OSGIN2/IGF2/BDNF/NRG3/GDF3/KITLG/BMP4/GMFB/IL34/CSF3/BMP2/JAG1/GDF15/LIF/TYMP",34
"GO:0045236","GO:0045236","CXCR chemokine receptor binding","10/1481","18/18089",0.000000311844442031357,0.0000267926349778608,0.0000235798165816693,"CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/CX3CL1",10
"GO:0005164","GO:0005164","tumor necrosis factor receptor binding","13/1481","31/18089",0.000000357555354692325,0.0000283568900529067,0.0000249564952020068,"STAT1/TNFSF10/LTA/TNF/LTB/EDA/TNFSF15/TRAF1/TNFSF11/TNFSF13B/TRAF3/TNFSF9/CD70",13
"GO:0005539","GO:0005539","glycosaminoglycan binding","43/1481","238/18089",0.000000648891289068226,0.0000477862085020958,0.0000420559617426173,"AGRN/SELP/SELL/LAMC2/NLRP3/VIT/TNFAIP6/SERPINE2/LXN/ADAMTS3/CXCL8/CXCL6/CXCL10/CXCL11/COL25A1/TLR2/SEMA5A/HBEGF/COL11A2/RSPO3/BGN/SULF1/CCN4/PTCH1/LYVE1/SAA1/NAV2/CD44/ADAMTS15/COL17A1/POSTN/BMP4/CEMIP/HAPLN3/PCSK6/NOD2/CCL7/CCL8/CCL23/LIPG/SULF2/COL5A3/SERPIND1",43
"GO:0032813","GO:0032813","tumor necrosis factor receptor superfamily binding","16/1481","49/18089",0.000000933730243826346,0.0000641783920923309,0.00005648248913532,"TNFSF18/STAT1/MYD88/TNFSF10/LTA/TNF/LTB/EDA/TNFSF15/TRAF1/BDNF/TNFSF11/TNFSF13B/TRAF3/TNFSF9/CD70",16
"GO:0005178","GO:0005178","integrin binding","31/1481","157/18089",0.00000349685301570683,0.000225328466199609,0.00019830837496969,"ISG15/COL16A1/VCAM1/ACTN2/IL1B/ITGAV/COL3A1/ITGA1/EDIL3/ITGB8/EGFR/NRG1/CCN4/TNC/IGF2/FERMT3/VWF/LCP1/TLN2/SEMA7A/ITGAM/ITGAX/CX3CL1/SLC6A4/ITGB4/S1PR2/ICAM1/ICAM5/ICAM3/CXADR/JAM2",31
"GO:0042605","GO:0042605","peptide antigen binding","14/1481","43/18089",0.00000463957986412674,0.000281376872936157,0.000247635779744721,"HLA-F/HLA-G/HLA-A/HLA-E/HLA-C/HLA-B/HLA-DRB1/TAP2/TAP1/HLA-DPA1/HLA-DPB1/TAPBP/B2M/SLC7A5",14
"GO:0030215","GO:0030215","semaphorin receptor binding","10/1481","23/18089",0.00000556659815048946,0.000318842371841924,0.000280608631913562,"SEMA6C/SEMA4A/SEMA4C/SEMA3G/SEMA5A/SEMA6A/SEMA3C/SEMA3D/SEMA6D/SEMA7A",10
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","14/1481","45/18089",0.00000845299975370773,0.000458686460319614,0.000403683423141056,"COL16A1/COL8A2/COL9A2/COL3A1/COL8A1/COL25A1/COL11A2/COL21A1/COL1A2/COL14A1/COL17A1/COL4A1/COL4A2/COL5A3",14
"GO:0042277","GO:0042277","peptide binding","50/1481","325/18089",0.0000106513922609663,0.000549079271052814,0.000483236848892262,"OPRD1/HCRTR1/GSTM2/NPR1/GPR37L1/TGFB2/SCTR/SLC40A1/CMKLR2/OXTR/TMEM158/CLSTN2/BCHE/COL25A1/ENPEP/TLR2/GHR/GPR150/ERAP1/ERAP2/CD74/HLA-F/HLA-G/HLA-A/HLA-E/HLA-C/HLA-B/HLA-DRB1/TAP2/TAP1/HLA-DPA1/HLA-DPB1/TAPBP/INHBA/CD36/ACHE/CLU/CMKLR1/NFKBIA/B2M/CEMIP/SSTR5/ITGAM/NOD2/SLC7A5/RAMP2/NGFR/SSTR2/CACNA1A/MCHR1",50
"GO:0001664","GO:0001664","G protein-coupled receptor binding","45/1481","284/18089",0.0000135884217108556,0.000667126799232959,0.000587128797732208,"WNT9A/REEP1/STAT1/CCL20/GHRL/CCRL2/RTP4/NMU/CXCL8/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/REEP2/MRAP2/RSPO3/PRKN/CTHRC1/PTCH1/SAA1/GAL/WNT10B/BDKRB2/GPRC5B/CX3CL1/CCL17/CXCL16/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23/TAC4/ACE/ITGB4/PALM/C3/S1PR2/ADORA2A",45
"GO:0005518","GO:0005518","collagen binding","17/1481","68/18089",0.0000244103390980833,0.00114395725500563,0.00100678049294487,"CTSS/CTSK/NID1/ANTXR1/ITGA1/ADGRG6/PDGFA/ACHE/COL14A1/CD44/VWF/NID2/SMAD3/C1QTNF1/MMP9/COL5A3/GP6",17
"GO:0030296","GO:0030296","protein tyrosine kinase activator activity","11/1481","32/18089",0.0000274132583712495,0.00122882910351123,0.00108147499844472,"ALKAL2/GHRL/BTC/HBEGF/EGFR/NRG1/IGF2/NRG3/GREM1/LTK/CCL5",11
"GO:0019956","GO:0019956","chemokine binding","11/1481","33/18089",0.0000380920737555405,0.00163637200174843,0.00144014770075772,"ACKR1/CXCR4/ITGAV/ACKR3/CCR4/CCRL2/ACKR4/A2M/CCR7/CCR10/ZFP36",11
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","8/1481","18/18089",0.0000410800682595319,0.00169414201502309,0.00149099026693543,"ALKAL2/BTC/HBEGF/EGFR/NRG1/IGF2/NRG3/GREM1",8
"GO:0070851","GO:0070851","growth factor receptor binding","26/1481","138/18089",0.0000485740216715439,0.00192614678243699,0.00169517435954943,"VAV3/EFEMP1/IL1R1/IL1A/IL1B/MYD88/PLSCR1/IL12A/PDGFRA/BTC/FGF5/VEGFC/ERAP1/TSLP/CSF2/HBEGF/PDGFRB/PDGFA/IL6/FGF20/IL7/GREM1/CSF3/FLRT3/IL12RB1/CADM4",26
"GO:0004222","GO:0004222","metalloendopeptidase activity","22/1481","108/18089",0.0000536920058219262,0.00205023918527429,0.00180438631651074,"MMEL1/PAPPA2/TRABD2A/ADAMTS3/TLL1/ADAMTS16/ADAMTS12/PRSS2/PHEX/MMP16/PAPPA/MMP7/MMP10/MMP1/ADAMTS15/ADAM8/MMP19/ADAMTS18/MMP28/ACE/MMP9/ADAMTS10",22
"GO:0008237","GO:0008237","metallopeptidase activity","31/1481","180/18089",0.0000590016791395169,0.00217252611403007,0.00191200930143848,"MMEL1/PAPPA2/TRABD2A/CPA3/LAP3/ADAMTS3/ENPEP/TLL1/ADAMTS16/ADAMTS12/ERAP1/ERAP2/PRSS2/ACE2/PHEX/MMP16/PAPPA/AGBL2/MMP7/MMP10/MMP1/ADAMTS15/ADAM8/MMP19/LTA4H/VASH1/ADAMTS18/MMP28/ACE/MMP9/ADAMTS10",31
"GO:0019957","GO:0019957","C-C chemokine binding","9/1481","24/18089",0.0000679385267942897,0.00241533176292803,0.00212569909606816,"ACKR1/CXCR4/ACKR3/CCR4/CCRL2/ACKR4/CCR7/CCR10/ZFP36",9
"GO:0033218","GO:0033218","amide binding","55/1481","396/18089",0.000075566362310017,0.00259696398472092,0.00228555102846437,"OPRD1/HCRTR1/GSTM2/NPR1/PLA2G4A/GPR37L1/TGFB2/SCTR/SLC40A1/CMKLR2/OXTR/TMEM158/CLSTN2/BCHE/COL25A1/ENPEP/TLR2/GHR/GPR150/ERAP1/ERAP2/CD74/HLA-F/HLA-G/HLA-A/HLA-E/HLA-C/HLA-B/HLA-DRB1/TAP2/TAP1/HLA-DPA1/HLA-DPB1/TAPBP/INHBA/CD36/ACHE/CLU/PC/FOLR3/ACBD7/CMKLR1/NFKBIA/B2M/CEMIP/SSTR5/ITGAM/NOD2/SLC7A5/RAMP2/NGFR/SSTR2/PLTP/CACNA1A/MCHR1",55
"GO:0048407","GO:0048407","platelet-derived growth factor binding","6/1481","11/18089",0.0000960628212130366,0.00319486350550454,0.0028117538840624,"COL3A1/PDGFRA/PDGFRB/PDGFA/COL1A2/COL4A1",6
"GO:0050135","GO:0050135","NADP+ nucleosidase activity","7/1481","16/18089",0.000143535680671993,0.00448440262947955,0.00394665890715337,"IL1R1/IL1RL1/IL18R1/IL18RAP/BST1/CD38/TLR2",7
"GO:0061809","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","7/1481","16/18089",0.000143535680671993,0.00448440262947955,0.00394665890715337,"IL1R1/IL1RL1/IL18R1/IL18RAP/BST1/CD38/TLR2",7
"GO:0008201","GO:0008201","heparin binding","29/1481","173/18089",0.000164051350269771,0.00497461594494511,0.00437808866664218,"SELP/SELL/LAMC2/SERPINE2/LXN/ADAMTS3/CXCL8/CXCL6/CXCL10/CXCL11/COL25A1/HBEGF/COL11A2/RSPO3/CCN4/PTCH1/SAA1/NAV2/ADAMTS15/COL17A1/POSTN/BMP4/PCSK6/CCL7/CCL8/CCL23/LIPG/COL5A3/SERPIND1",29
"GO:0048020","GO:0048020","CCR chemokine receptor binding","12/1481","45/18089",0.000195072852029655,0.00574628886978784,0.00505722702103948,"STAT1/CCL20/CCRL2/CX3CL1/CCL17/CCL2/CCL7/CCL8/CCL5/CCL16/CCL14/CCL23",12
"GO:0061134","GO:0061134","peptidase regulator activity","35/1481","227/18089",0.000204235516291557,0.00584907825823875,0.00514769049834275,"GBP2/GBP5/CTSS/CTSK/NLRP3/TFPI/SERPINE2/LXN/RARRES1/SPINK5/TFPI2/SERPINE1/SSPOP/RENBP/NKX3-1/SERPING1/CASP1/A2M/MANSC4/PSME1/PSME2/PAPLN/LGMN/CTSH/SERPINF2/SERPINB7/SERPINB2/HMSD/CST4/CST1/PI3/C3/BST2/NLRP12/SERPIND1",35
"GO:0019838","GO:0019838","growth factor binding","24/1481","135/18089",0.000236268183484829,0.00658358100467187,0.00579411590793522,"SORT1/NTRK1/IL1R1/ITGAV/COL3A1/IGFBP5/SCN5A/PDGFRA/KIT/GHR/PDGFRB/PDGFA/EGFR/CD36/COL1A2/IL2RG/IL10RA/A2M/COL4A1/PCSK6/IGFBP4/NGFR/ITGB4/RHBDF2",24
"GO:0016702","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","8/1481","24/18089",0.000442393503426279,0.012002834264013,0.010563523544417,"PTGS2/HAAO/CDO1/PIR/IDO1/ALOX5AP/BCO1/ALOXE3",8
"GO:0043394","GO:0043394","proteoglycan binding","10/1481","36/18089",0.000461688738868945,0.01209624710039,0.0106457348517395,"AGRN/CTSS/CTSK/NID1/HPSE/SEMA5A/FST/FGF20/TNC/COL5A3",10
"GO:0050840","GO:0050840","extracellular matrix binding","14/1481","63/18089",0.000469301536387586,0.01209624710039,0.0106457348517395,"AGRN/VWA1/TINAGL1/CTSS/NID1/ITGAV/ADGRG6/ACHE/BGN/OLFML2A/ADAMTS15/NTN4/CLEC14A/BCAM",14
"GO:1901681","GO:1901681","sulfur compound binding","38/1481","266/18089",0.00053292550284478,0.0131559466566144,0.0115783613436129,"AGRN/GSTM2/SELP/SELL/LAMC2/CD34/SERPINE2/LXN/ADAMTS3/CXCL8/CXCL6/CXCL10/CXCL11/COL25A1/SEMA5A/FST/HBEGF/COL11A2/RSPO3/FGF20/CCN4/PTCH1/SAA1/NAV2/PC/ADAMTS15/ACBD7/COL17A1/CHST15/POSTN/BMP4/PCSK6/CCL7/CCL8/CCL23/LIPG/COL5A3/SERPIND1",38
"GO:0004175","GO:0004175","endopeptidase activity","50/1481","379/18089",0.000535935751287882,0.0131559466566144,0.0115783613436129,"MMEL1/RHBDL2/CTSS/CTSK/PAPPA2/PSEN2/TRABD2A/MASP1/ADAMTS3/PRSS12/CTSO/TLL1/ADAMTS16/ADAMTS12/GZMA/ERAP1/ERAP2/C2/CFB/PSMB8/PSMB9/ADGRG6/PRSS2/ACE2/PHEX/MMP16/PAPPA/MMP7/MMP10/MMP1/CASP12/CASP1/USP2/ADAMTS15/PLAU/ADAM8/C1S/C1R/MMP19/LGMN/CTSH/PCSK6/PSMB10/ADAMTS18/MMP28/ACE/MMP9/ADAMTS10/KLK1/KLK10",50
"GO:0016701","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","8/1481","25/18089",0.000604239307884769,0.0144876913123069,0.0127504108542637,"PTGS2/HAAO/CDO1/PIR/IDO1/ALOX5AP/BCO1/ALOXE3",8
"GO:0008330","GO:0008330","protein tyrosine/threonine phosphatase activity","5/1481","10/18089",0.00064879243949672,0.0145414131548069,0.0127976906829788,"DUSP10/DUSP2/DUSP8/DUSP5/DUSP16",5
"GO:0033550","GO:0033550","MAP kinase tyrosine phosphatase activity","5/1481","10/18089",0.00064879243949672,0.0145414131548069,0.0127976906829788,"DUSP10/DUSP2/DUSP8/DUSP5/DUSP16",5
"GO:0043121","GO:0043121","neurotrophin binding","5/1481","10/18089",0.00064879243949672,0.0145414131548069,0.0127976906829788,"SORT1/NTRK1/A2M/PCSK6/NGFR",5
"GO:0061135","GO:0061135","endopeptidase regulator activity","28/1481","181/18089",0.000799906361230136,0.0170576918615424,0.0150122317470514,"GBP2/GBP5/NLRP3/TFPI/SERPINE2/LXN/RARRES1/SPINK5/TFPI2/SERPINE1/RENBP/SERPING1/A2M/MANSC4/PSME1/PSME2/PAPLN/LGMN/SERPINF2/SERPINB7/SERPINB2/HMSD/CST4/CST1/PI3/C3/BST2/SERPIND1",28
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","8/1481","26/18089",0.000810695345504924,0.0170576918615424,0.0150122317470514,"CXCR4/ACKR3/CCR4/CCRL2/ACKR4/CMKLR1/CCR7/CCR10",8
"GO:0004950","GO:0004950","chemokine receptor activity","8/1481","26/18089",0.000810695345504924,0.0170576918615424,0.0150122317470514,"CXCR4/ACKR3/CCR4/CCRL2/ACKR4/CMKLR1/CCR7/CCR10",8
"GO:0042608","GO:0042608","T cell receptor binding","5/1481","11/18089",0.00110940045473313,0.0224272915456834,0.0197379399789465,"MR1/DOCK2/HLA-A/HLA-E/HLA-DRB1",5
"GO:0050998","GO:0050998","nitric-oxide synthase binding","5/1481","11/18089",0.00110940045473313,0.0224272915456834,0.0197379399789465,"NOS1AP/SCN5A/CD74/DMD/SLC6A4",5
"GO:0038187","GO:0038187","pattern recognition receptor activity","9/1481","34/18089",0.00129004242886819,0.0255775720031366,0.0225104569571736,"PTAFR/IFIH1/TLR2/TLR3/CD36/RIGI/CLEC7A/NOD2/COLEC12",9
"GO:0005516","GO:0005516","calmodulin binding","30/1481","205/18089",0.0013308300147154,0.0258884102862561,0.0227840213045615,"MARCKSL1/RGS4/RGS16/RGS2/SLC8A1/PDE1A/SCN5A/MYLK/WFS1/KCNN2/CAMK2B/EGFR/NOS3/GEM/SMTNL1/MAP6/MYO7A/ENKUR/ITPKA/MYO5C/RRAD/MYH10/NGFR/ACE/MYO5B/MYLK2/UNC13A/CEACAM1/SLC8A2/ADORA2A",30
"GO:0043236","GO:0043236","laminin binding","8/1481","28/18089",0.00139190562502202,0.0265750870258834,0.0233883557264909,"AGRN/TINAGL1/CTSS/NID1/ADGRG6/ACHE/NTN4/BCAM",8
"GO:0017171","GO:0017171","serine hydrolase activity","28/1481","188/18089",0.00144796974693107,0.0271428510742897,0.0238880367819059,"RHBDL2/CTSS/CTSK/NCEH1/MASP1/PRSS12/TLL1/GZMA/C2/CFB/ACHE/RELN/PRSS2/PRCP/MMP7/MMP10/MMP1/PLAU/ADAM8/C1S/C1R/MMP19/CTSH/PCSK6/ACE/MMP9/KLK1/KLK10",28
"GO:0035497","GO:0035497","cAMP response element binding","5/1481","12/18089",0.00177411650232453,0.0326627520338677,0.0287460230263862,"CREB5/NR4A3/CREB3L1/HMGA2/JDP2",5
"GO:0016493","GO:0016493","C-C chemokine receptor activity","7/1481","23/18089",0.00184740412583198,0.032839200926427,0.028901313184522,"CXCR4/ACKR3/CCR4/CCRL2/ACKR4/CCR7/CCR10",7
"GO:0016849","GO:0016849","phosphorus-oxygen lyase activity","7/1481","23/18089",0.00184740412583198,0.032839200926427,0.028901313184522,"NPR1/ADCY10/BST1/CD38/GUCY1B1/GUCY2F/GUCY1A2",7
"GO:0042805","GO:0042805","actinin binding","9/1481","36/18089",0.00199561244677148,0.0348724819088373,0.0306907748281359,"MAGI1/NFKB1/SYNPO2/KCNN2/PDLIM4/PRICKLE4/MYPN/CSRP2/ADORA2A",9
"GO:0002020","GO:0002020","protease binding","22/1481","139/18089",0.00206292136630954,0.0354478654777523,0.0311971617150671,"SELL/IL1R1/ITGAV/COL3A1/KIT/BANK1/F2RL1/TNF/TNFAIP3/PRKN/COL1A2/SERPINE1/RIPK2/PANX1/CASP1/VWF/A2M/BDKRB2/SERPINF2/BCL2/CD70/F2RL3",22
"GO:0019001","GO:0019001","guanyl nucleotide binding","49/1481","395/18089",0.00227983603186854,0.0379114669170398,0.0333653422660557,"RAB42/DIRAS3/GBP3/GBP1/GBP2/GBP4/GBP5/NPR1/RAB7B/RND3/RHOH/ARL9/GUCY1B1/RAB3C/TUBB2B/RAB44/GTPBP2/CGAS/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP1/GIMAP5/RAB9B/GUCY2F/GEM/RIGI/CNGA4/GVINP1/PDE2A/GUCY1A2/RND1/RHEBL1/ARL11/GCH1/SRL/SEPTIN1/RRAD/RASD1/RNF112/RASL10B/PDE6G/RAB40B/SAMHD1/RAC2/GTPBP1/MX2/MX1",49
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","49/1481","395/18089",0.00227983603186854,0.0379114669170398,0.0333653422660557,"RAB42/DIRAS3/GBP3/GBP1/GBP2/GBP4/GBP5/NPR1/RAB7B/RND3/RHOH/ARL9/GUCY1B1/RAB3C/TUBB2B/RAB44/GTPBP2/CGAS/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP1/GIMAP5/RAB9B/GUCY2F/GEM/RIGI/CNGA4/GVINP1/PDE2A/GUCY1A2/RND1/RHEBL1/ARL11/GCH1/SRL/SEPTIN1/RRAD/RASD1/RNF112/RASL10B/PDE6G/RAB40B/SAMHD1/RAC2/GTPBP1/MX2/MX1",49
"GO:0005035","GO:0005035","death receptor activity","5/1481","13/18089",0.00268977876149902,0.0420176045925075,0.0369790955727617,"TNFRSF18/TNFRSF4/TNFRSF14/NGFR/TNFRSF11A",5
"GO:0017017","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","5/1481","13/18089",0.00268977876149902,0.0420176045925075,0.0369790955727617,"DUSP10/DUSP2/DUSP8/DUSP5/DUSP16",5
"GO:0031432","GO:0031432","titin binding","5/1481","13/18089",0.00268977876149902,0.0420176045925075,0.0369790955727617,"TRIM63/ACTN2/ANKRD23/ANKRD1/TCAP",5
"GO:0071714","GO:0071714","icosanoid transmembrane transporter activity","5/1481","13/18089",0.00268977876149902,0.0420176045925075,0.0369790955727617,"SLCO2A1/SLCO2B1/SLCO3A1/ABCC3/SLCO4A1",5
"GO:0005319","GO:0005319","lipid transporter activity","25/1481","171/18089",0.0032526655296221,0.0493161494270645,0.0434024409680224,"MFSD2A/SLCO2A1/PLSCR1/ATP8A1/ATP10B/ABCA13/CD36/ATG9B/ABCA1/ANO9/SLCO2B1/ATP10A/ATP8B4/SLCO3A1/SPNS2/PITPNM3/ABCC3/ABCA8/ABCA9/CIDEA/NPC1/PLTP/SLCO4A1/CEACAM1/APOL3",25
"GO:0030414","GO:0030414","peptidase inhibitor activity","25/1481","171/18089",0.0032526655296221,0.0493161494270645,0.0434024409680224,"GBP2/GBP5/TFPI/SERPINE2/LXN/RARRES1/SPINK5/TFPI2/SERPINE1/SSPOP/RENBP/SERPING1/A2M/MANSC4/PAPLN/SERPINF2/SERPINB7/SERPINB2/HMSD/CST4/CST1/PI3/C3/BST2/SERPIND1",25
"GO:0005525","GO:0005525","GTP binding","46/1481","374/18089",0.00359059897085489,0.0529707679394295,0.046618818687823,"RAB42/DIRAS3/GBP3/GBP1/GBP2/GBP4/GBP5/NPR1/RAB7B/RND3/RHOH/ARL9/GUCY1B1/RAB3C/TUBB2B/RAB44/GTPBP2/CGAS/GIMAP8/GIMAP7/GIMAP4/GIMAP6/GIMAP1/GIMAP5/RAB9B/GUCY2F/GEM/RIGI/GVINP1/GUCY1A2/RND1/RHEBL1/ARL11/GCH1/SRL/SEPTIN1/RRAD/RASD1/RNF112/RASL10B/RAB40B/SAMHD1/RAC2/GTPBP1/MX2/MX1",46
"GO:0016799","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","9/1481","39/18089",0.00359646339064992,0.0529707679394295,0.046618818687823,"IL1R1/IL1RL1/IL18R1/IL18RAP/ADPRH/BST1/CD38/TLR2/NEIL1",9
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","24/1481","164/18089",0.00383322135061892,0.0556626931336353,0.048987943724737,"GBP2/GBP5/TFPI/SERPINE2/LXN/RARRES1/SPINK5/TFPI2/SERPINE1/RENBP/SERPING1/A2M/MANSC4/PAPLN/SERPINF2/SERPINB7/SERPINB2/HMSD/CST4/CST1/PI3/C3/BST2/SERPIND1",24
"GO:0005044","GO:0005044","scavenger receptor activity","7/1481","26/18089",0.00399046922492642,0.0571413023735992,0.0502892466650084,"ACKR3/ACKR4/CD36/ENPP2/CXCL16/LGALS3BP/COLEC12",7
