gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
RCBTB2,0.036842332,0.061087307,0.176,0.106,1,0.07
CYB561D2,0.036850448,-0.174341702,0.044,0.102,1,-0.058
UBE2E2,0.036867903,-0.090367962,0.195,0.118,1,0.077
CRLS1,0.03691896,0.031818891,0.164,0.094,1,0.07
RNF145,0.036947444,-0.16515447,0.34,0.232,1,0.108
SEMA3G,0.036990639,0.034752718,0.063,0.134,1,-0.071
GNPTG,0.037028762,0.038647075,0.17,0.102,1,0.068
SASH1,0.037128479,-0.051600898,0.453,0.323,1,0.13
NUTF2,0.037141125,-0.043559513,0.283,0.193,1,0.09
ZDHHC24,0.037141168,0.039453198,0.189,0.114,1,0.075
ZMIZ1,0.037141504,0.021943796,0.252,0.177,1,0.075
RALGAPA1,0.037226556,-0.321858731,0.164,0.24,1,-0.076
DVL1,0.03723274,0.049013979,0.176,0.106,1,0.07
ARHGAP29,0.037245949,-0.552584602,0.528,0.5,1,0.028
EDEM1,0.037255725,0.075229739,0.126,0.067,1,0.059
AES,0.037323991,-0.082852291,0.547,0.39,1,0.157
GTF3C4,0.037368868,-0.095027226,0.157,0.091,1,0.066
POLD2,0.03737219,-0.016516115,0.245,0.157,1,0.088
SUCLG1,0.037390686,-0.255721166,0.39,0.28,1,0.11
ARID4A,0.037593484,0.080397025,0.327,0.224,1,0.103
MAP2,0.037606811,-0.070145889,0.101,0.047,1,0.054
PRKD3,0.037607771,0.007635014,0.264,0.189,1,0.075
STX3,0.037627027,-0.387231539,0.226,0.295,1,-0.069
ZNF511,0.037648011,0.150050521,0.157,0.091,1,0.066
FKBP1B,0.037668571,0.078317177,0.138,0.075,1,0.063
EXOSC8,0.037724051,0.002042878,0.233,0.154,1,0.079
C1orf174,0.038042185,0.137834356,0.126,0.067,1,0.059
DNAJC9,0.038042185,0.041616606,0.126,0.067,1,0.059
ZNF451,0.038084157,0.0075232,0.252,0.161,1,0.091
HNRNPH3,0.038174062,-0.265227463,0.623,0.453,1,0.17
DSCR3,0.038211623,0.010602079,0.157,0.091,1,0.066
PDK2,0.038255971,0.078713663,0.113,0.059,1,0.054
MZT1,0.03830343,0.044600832,0.22,0.142,1,0.078
MEX3D,0.038327159,-0.008678057,0.101,0.047,1,0.054
FAM127A,0.038350104,-0.103894332,0.346,0.24,1,0.106
HIST2H2AA3,0.038357483,0.249180182,0.252,0.177,1,0.075
MAFK,0.03841053,-0.394531951,0.302,0.35,1,-0.048
FASTKD5,0.038456006,-0.051858588,0.151,0.087,1,0.064
ADCK4,0.038509068,0.006768458,0.101,0.047,1,0.054
B3GNT2,0.038578581,-0.234738103,0.119,0.197,1,-0.078
CCT7,0.038581971,-0.064176849,0.478,0.362,1,0.116
ARSD,0.038626845,-0.077284945,0.132,0.071,1,0.061
VPS4A,0.038710529,-0.109411929,0.321,0.22,1,0.101
OAZ2,0.038716345,-0.090664751,0.497,0.35,1,0.147
SP4,0.038731641,0.075842383,0.119,0.063,1,0.056
ZNF581,0.038784095,0.117309359,0.132,0.071,1,0.061
LAMTOR1,0.038795245,-0.055953375,0.516,0.378,1,0.138
INF2,0.038806479,0.0111007,0.208,0.134,1,0.074
CTDSPL2,0.038923121,0.079572703,0.164,0.098,1,0.066
TPGS2,0.038965382,-0.000150243,0.189,0.118,1,0.071
LPIN1,0.038991572,0.052647084,0.22,0.146,1,0.074
NSUN2,0.039004532,0.057746744,0.126,0.067,1,0.059
C10orf118,0.039088688,-0.440191952,0.22,0.295,1,-0.075
L3MBTL2,0.039103848,0.092995574,0.113,0.059,1,0.054
ISOC2,0.03934482,0.048255614,0.277,0.189,1,0.088
TSEN34,0.039364159,0.111216076,0.264,0.185,1,0.079
PPT1,0.039383361,-0.219904764,0.428,0.315,1,0.113
SLC41A1,0.039404691,0.09194748,0.157,0.094,1,0.063
BRMS1L,0.039418546,-0.042420296,0.132,0.071,1,0.061
AZI2,0.039446113,-0.071807518,0.264,0.177,1,0.087
NKX3-1,0.039474547,0.053016443,0.17,0.102,1,0.068
TWSG1,0.039560008,0.097826587,0.208,0.134,1,0.074
SLC12A6,0.039701094,-0.121133172,0.082,0.15,1,-0.068
SLC16A3,0.039724927,-0.495257785,0.277,0.354,1,-0.077
MIR29A,0.039821715,-0.263742124,0.182,0.252,1,-0.07
LDLRAD3,0.039886714,0.086392136,0.201,0.126,1,0.075
PRKAG2,0.039941407,0.000125007,0.208,0.134,1,0.074
KPNA5,0.039980302,0.022816075,0.138,0.075,1,0.063
RSRC2,0.040018644,-0.072121462,0.673,0.449,1,0.224
SNAPC5,0.040024748,-0.006318209,0.189,0.118,1,0.071
TRAF3IP2,0.040035365,-0.437931435,0.132,0.201,1,-0.069
RASSF8-AS1,0.040036297,0.091749831,0.17,0.102,1,0.068
PPP1R7,0.040066882,0.034572798,0.277,0.197,1,0.08
TMEM106C,0.040093157,0.071444766,0.157,0.091,1,0.066
KLHL20,0.040101707,-0.012135535,0.151,0.091,1,0.06
COX8A,0.040104556,-0.303466284,0.667,0.48,1,0.187
SPATA2,0.040131469,0.08594605,0.157,0.094,1,0.063
UHMK1,0.040200974,-0.233481808,0.151,0.232,1,-0.081
COX14,0.040244641,-0.075801446,0.403,0.287,1,0.116
CBR4,0.040319763,0.108403713,0.126,0.067,1,0.059
ANO6,0.040355288,-0.100815844,0.277,0.189,1,0.088
RP11-773D16.1,0.040400859,0.170029061,0.151,0.091,1,0.06
LASP1,0.04040372,-0.017600997,0.283,0.193,1,0.09
CD68,0.040414499,0.115079792,0.119,0.063,1,0.056
NFIL3,0.040430414,-0.034584159,0.434,0.323,1,0.111
EEF2,0.04049264,-0.108990155,0.868,0.685,1,0.183
AHCTF1,0.040534688,0.145952891,0.22,0.146,1,0.074
GOLGA5,0.040538552,0.063841298,0.107,0.055,1,0.052
C12orf43,0.040634705,0.070897419,0.138,0.079,1,0.059
DPM2,0.040685135,0.056396586,0.239,0.165,1,0.074
VTI1B,0.040742956,0.001813842,0.277,0.197,1,0.08
RBPJ,0.040908238,0.0313242,0.308,0.224,1,0.084
WRB,0.04095298,0.072605549,0.245,0.165,1,0.08
PROSC,0.040980951,-0.008801926,0.283,0.201,1,0.082
PQBP1,0.040988953,-0.096489135,0.327,0.236,1,0.091
COX6A1P2,0.041089359,-0.332290471,0.088,0.157,1,-0.069
PTRH2,0.041307067,-0.035994283,0.258,0.173,1,0.085
YME1L1,0.041382662,-0.254234109,0.465,0.354,1,0.111
C18orf8,0.041433865,0.080016931,0.138,0.079,1,0.059
CRYAB,0.041438065,-0.771347883,0.201,0.28,1,-0.079
RTCB,0.041438105,-0.208528446,0.358,0.264,1,0.094
TEN1,0.041441307,0.013643402,0.157,0.091,1,0.066
SHMT2,0.041501256,-0.070884219,0.126,0.067,1,0.059
C5orf24,0.041563883,0.108404865,0.365,0.276,1,0.089
AGPAT4,0.041619256,0.179497597,0.157,0.094,1,0.063
MSANTD3,0.041667547,-0.224516105,0.069,0.13,1,-0.061
ATP5G3,0.041690273,-0.241901871,0.591,0.421,1,0.17
MTR,0.041826393,0.051946181,0.145,0.083,1,0.062
CDIPT,0.041836054,-0.318986513,0.321,0.224,1,0.097
KIAA1683,0.041981684,0.049640399,0.119,0.063,1,0.056
RNMT,0.042010015,-0.004441389,0.289,0.197,1,0.092
MRFAP1L1,0.042052697,0.052240766,0.157,0.091,1,0.066
EVL,0.042054325,-0.055374551,0.302,0.213,1,0.089
IGFBP2,0.042054325,-0.394065081,0.327,0.197,1,0.13
SNHG12,0.042067672,-0.066258235,0.365,0.26,1,0.105
VAMP2,0.042081242,-0.191308038,0.528,0.366,1,0.162
MIF4GD,0.042113629,0.001316712,0.239,0.169,1,0.07
SLC52A2,0.042114627,0.047335439,0.164,0.098,1,0.066
ORAI1,0.042158642,-0.374042424,0.208,0.28,1,-0.072
ACAD8,0.042158948,0.046666176,0.119,0.063,1,0.056
GNPDA1,0.042216899,0.007645417,0.189,0.118,1,0.071
DNAJC2,0.042244788,0.020796119,0.252,0.169,1,0.083
U2AF1L4,0.042289545,-0.012616958,0.113,0.059,1,0.054
SLC26A2,0.042357526,-0.07768502,0.119,0.193,1,-0.074
NOLC1,0.042457475,-0.012671815,0.302,0.228,1,0.074
ST8SIA6,0.042551999,0.061710942,0.151,0.087,1,0.064
MFSD11,0.04256461,0.025824212,0.208,0.134,1,0.074
PSMF1,0.042585255,-0.020550197,0.403,0.299,1,0.104
ATN1,0.04268794,-0.033123891,0.409,0.295,1,0.114
CD109,0.042736251,0.048643803,0.201,0.13,1,0.071
STIM1,0.042768293,0.120812459,0.107,0.055,1,0.052
POLR2J,0.042805501,0.034272713,0.333,0.24,1,0.093
ECE1,0.042852204,-0.031110473,0.553,0.406,1,0.147
FTH1,0.042912739,0.074020611,0.981,0.913,1,0.068
PNPT1,0.04295273,0.062022326,0.145,0.083,1,0.062
C11orf73,0.04296348,0.070056255,0.302,0.217,1,0.085
TDRP,0.043354639,0.072535268,0.226,0.154,1,0.072
TMEM55A,0.043392383,0.096849461,0.132,0.075,1,0.057
TBC1D10B,0.043417619,0.02380517,0.119,0.063,1,0.056
TTBK2,0.043510699,-0.061946863,0.151,0.087,1,0.064
DDOST,0.043552084,-0.087045323,0.377,0.26,1,0.117
HPS1,0.043574577,0.093946707,0.145,0.087,1,0.058
MPPE1,0.043586394,-0.062712315,0.113,0.059,1,0.054
NME4,0.043600789,-0.092395615,0.264,0.177,1,0.087
SUMO1,0.043697102,-0.337286029,0.623,0.429,1,0.194
DYRK1A,0.043712641,-0.155970095,0.258,0.177,1,0.081
SDCCAG8,0.043780049,0.020730453,0.176,0.114,1,0.062
FILIP1,0.043797608,-0.20620265,0.082,0.154,1,-0.072
MBD1,0.043887021,0.194504333,0.176,0.11,1,0.066
ZDHHC6,0.0439383,0.027918305,0.157,0.094,1,0.063
MAPK12,0.043947626,-0.013812453,0.182,0.114,1,0.068
IREB2,0.043952344,0.000790516,0.126,0.067,1,0.059
FNDC3B,0.044081855,0.085880141,0.277,0.193,1,0.084
STIM2,0.044226922,-0.007489314,0.214,0.138,1,0.076
PPIH,0.044315241,0.160269979,0.17,0.102,1,0.068
CARS,0.044336302,0.08037287,0.176,0.11,1,0.066
DDHD1,0.044507884,-0.009977136,0.107,0.055,1,0.052
LACC1,0.044533147,0.077541479,0.113,0.059,1,0.054
PLGRKT,0.044592989,0.056715496,0.138,0.079,1,0.059
MED28,0.044642572,-0.07050741,0.358,0.26,1,0.098
ALKBH5,0.04465065,-0.012572002,0.327,0.236,1,0.091
RANBP2,0.044739572,0.115016464,0.283,0.201,1,0.082
RAB32,0.044757423,0.059164557,0.346,0.256,1,0.09
ANGPTL2,0.044801239,0.057815402,0.119,0.063,1,0.056
SLC19A2,0.044803499,-0.014841775,0.107,0.055,1,0.052
RAE1,0.044840148,0.007678511,0.195,0.122,1,0.073
MLH1,0.044902463,0.042339124,0.107,0.055,1,0.052
RNF144B,0.044940965,-0.347405287,0.17,0.248,1,-0.078
PPP1R11,0.045003286,-0.133854477,0.27,0.197,1,0.073
7-Mar,0.045018539,-0.128055473,0.409,0.307,1,0.102
BABAM1,0.045189529,-0.075375735,0.277,0.193,1,0.084
MRPL47,0.04519393,-0.076864227,0.352,0.256,1,0.096
RAB1A,0.045224087,-0.151522639,0.553,0.406,1,0.147
UBN2,0.045269483,0.047097874,0.176,0.106,1,0.07
KIAA0930,0.045299988,0.071155458,0.107,0.055,1,0.052
ITCH,0.045631889,0.064818536,0.138,0.079,1,0.059
LSM4,0.045704828,-0.087551926,0.371,0.264,1,0.107
CHP1,0.045723404,-0.118999875,0.283,0.201,1,0.082
LAMC1,0.045813317,0.088816983,0.327,0.236,1,0.091
CPNE2,0.045837683,-0.01066786,0.252,0.173,1,0.079
HCG18,0.045862033,0.111967495,0.176,0.11,1,0.066
HSDL2,0.045871235,0.072398263,0.157,0.094,1,0.063
AGPS,0.045887703,0.052925175,0.113,0.059,1,0.054
GPR116,0.045913631,-0.435657778,0.541,0.48,1,0.061
NCSTN,0.045944335,0.116529503,0.283,0.205,1,0.078
DDX19B,0.045950141,-0.004370636,0.151,0.091,1,0.06
RBFA,0.046169216,0.043144972,0.164,0.098,1,0.066
CLDN10,0.046273534,0.100657252,0.101,0.051,1,0.05
OGDH,0.046274813,-0.057046832,0.182,0.11,1,0.072
GRB2,0.046384104,0.065090651,0.27,0.197,1,0.073
ATP5SL,0.046423851,0.025954794,0.208,0.13,1,0.078
AKTIP,0.046553108,-0.149845943,0.126,0.197,1,-0.071
SLC35C2,0.046569289,0.095710386,0.132,0.075,1,0.057
CISD3,0.046642135,-0.180164314,0.189,0.114,1,0.075
TBL1X,0.046694083,0.054235867,0.101,0.051,1,0.05
LRRC8C,0.046721407,-0.467677674,0.314,0.378,1,-0.064
DHRS1,0.04675138,0.045141097,0.132,0.075,1,0.057
BAHD1,0.04675138,0.005221738,0.132,0.075,1,0.057
RNF146,0.04681024,0.024855966,0.208,0.138,1,0.07
CTGF,0.046856768,0.225601687,0.673,0.488,1,0.185
DNAJC1,0.046981535,0.031790094,0.478,0.346,1,0.132
IFIT1,0.046993396,-0.339328906,0.094,0.157,1,-0.063
STX12,0.047011887,-0.09750399,0.421,0.315,1,0.106
ETS1,0.047031328,-0.374342605,0.314,0.366,1,-0.052
WIPF1,0.047125752,-0.031987834,0.107,0.055,1,0.052
USP39,0.0471502,-0.117740668,0.164,0.098,1,0.066
THSD1,0.047208111,0.137223847,0.126,0.071,1,0.055
BCL2L13,0.047285216,0.12552862,0.182,0.114,1,0.068
RUFY3,0.047286123,-0.26465586,0.132,0.213,1,-0.081
HDGF,0.047289507,-0.139691629,0.491,0.362,1,0.129
RBMXL1,0.047304978,0.06956992,0.151,0.091,1,0.06
HMGCL,0.047648972,0.044367751,0.182,0.118,1,0.064
ATP6V1G1,0.047670241,-0.20118776,0.679,0.472,1,0.207
ZNF567,0.047680121,0.046174199,0.113,0.059,1,0.054
ZSCAN16-AS1,0.047680121,-0.019225581,0.113,0.059,1,0.054
SNAP23,0.047691741,0.012004681,0.384,0.28,1,0.104
UBA2,0.047729657,0.044084214,0.34,0.24,1,0.1
STOX2,0.047747932,0.047920508,0.107,0.055,1,0.052
ELAC2,0.047770944,0.035538504,0.138,0.079,1,0.059
SCYL2,0.047950961,-0.058677749,0.208,0.134,1,0.074
SNAPC1,0.047979232,0.226194589,0.17,0.106,1,0.064
MAP2K3,0.048051048,-0.035588684,0.421,0.311,1,0.11
MAGEH1,0.048073318,0.0385342,0.189,0.122,1,0.067
LRRC40,0.04808633,-0.031901277,0.113,0.059,1,0.054
FSTL1,0.048160328,-0.036483404,0.314,0.228,1,0.086
PAICS,0.048302318,-0.1216396,0.189,0.118,1,0.071
COL4A1,0.048342578,0.14133727,0.245,0.165,1,0.08
SUDS3,0.048343016,0.120859963,0.151,0.091,1,0.06
DDX58,0.048405415,-0.042242926,0.151,0.087,1,0.064
UACA,0.048475253,-0.024985748,0.365,0.272,1,0.093
THEM4,0.048500429,-0.090870353,0.132,0.071,1,0.061
TSN,0.048516676,0.13220262,0.201,0.13,1,0.071
DYNLL2,0.04857314,-0.157983559,0.371,0.276,1,0.095
NOL10,0.048690116,0.030864664,0.176,0.106,1,0.07
TAZ,0.048719839,-0.183219212,0.094,0.161,1,-0.067
KXD1,0.048756961,-0.001780095,0.346,0.26,1,0.086
GATAD1,0.04876661,0.084420377,0.333,0.252,1,0.081
EXOSC5,0.048800237,0.050199916,0.107,0.055,1,0.052
RIT1,0.048865482,-0.454332168,0.34,0.378,1,-0.038
HMG20A,0.048904628,0.059062743,0.157,0.094,1,0.063
GSTA4,0.049173583,0.117329766,0.132,0.075,1,0.057
MCEE,0.049226577,0.026618422,0.107,0.055,1,0.052
PCDH10,0.049267387,0.018366047,0.233,0.154,1,0.079
ALG8,0.049379788,0.029833146,0.119,0.063,1,0.056
SS18L1,0.049555418,0.056808056,0.132,0.075,1,0.057
IWS1,0.049578176,-0.103863268,0.075,0.138,1,-0.063
LPAR6,0.049584101,0.026733645,0.44,0.343,1,0.097
MAP7D1,0.049608803,-0.246161992,0.415,0.299,1,0.116
HDAC1,0.049639531,-0.087802626,0.321,0.232,1,0.089
TBC1D12,0.049747267,0.102203051,0.132,0.075,1,0.057
GNA13,0.049819279,-0.254756529,0.151,0.224,1,-0.073
GLB1,0.049891933,0.044618074,0.145,0.083,1,0.062
UBA1,0.050008712,0.068080189,0.283,0.209,1,0.074
TRIM41,0.050182733,0.075158491,0.138,0.079,1,0.059
CENPL,0.050182733,0.023058051,0.138,0.079,1,0.059
DDX1,0.050195071,-0.030921917,0.239,0.157,1,0.082
DENND5B,0.050306119,-0.032701998,0.107,0.055,1,0.052
DERL2,0.050318117,-0.032142659,0.34,0.244,1,0.096
YIPF4,0.050592148,-0.074305313,0.302,0.217,1,0.085
CCNY,0.050639781,-0.10248703,0.497,0.362,1,0.135
COG7,0.050699369,0.047162596,0.126,0.071,1,0.055
MAP3K7,0.05070802,0.041426472,0.145,0.087,1,0.058
MED24,0.05070802,0.008915149,0.145,0.087,1,0.058
MYO5C,0.050931792,-0.178503229,0.088,0.154,1,-0.066
ITSN2,0.051013006,-0.071841415,0.34,0.244,1,0.096
SEC24B,0.051017401,-0.039787698,0.201,0.126,1,0.075
RELB,0.051131207,-0.220550669,0.277,0.197,1,0.08
PRPF38B,0.05116963,-0.002553314,0.516,0.374,1,0.142
ATP6V0B,0.051302065,-0.116285343,0.585,0.417,1,0.168
NUDT2,0.051388523,0.0224934,0.151,0.091,1,0.06
PSMD2,0.051407692,0.049497206,0.403,0.287,1,0.116
C15orf40,0.051536156,0.030051493,0.101,0.051,1,0.05
MYEF2,0.051572563,-0.224028045,0.075,0.138,1,-0.063
ABHD6,0.051706695,0.057202542,0.126,0.071,1,0.055
TIPRL,0.051979959,-0.011857715,0.252,0.177,1,0.075
PXN,0.051982957,0.219873699,0.34,0.256,1,0.084
TGS1,0.052135405,-0.02457155,0.182,0.11,1,0.072
NBN,0.052142113,0.004060062,0.164,0.098,1,0.066
ANKRD9,0.052183454,-0.119123762,0.082,0.146,1,-0.064
SETD3,0.052252185,0.01427655,0.208,0.13,1,0.078
CALM1,0.052284059,-0.354596018,0.855,0.736,1,0.119
HECA,0.05232798,0.087813952,0.302,0.217,1,0.085
RNF115,0.052353806,0.065591358,0.314,0.224,1,0.09
EIF4A2,0.052420764,-0.084282338,0.83,0.583,1,0.247
YTHDF3,0.052481493,-0.067708695,0.283,0.197,1,0.086
CD2AP,0.052635042,0.12554454,0.252,0.177,1,0.075
LYRM4,0.052654647,0.001199437,0.157,0.094,1,0.063
HIRIP3,0.05271926,0.129317393,0.132,0.079,1,0.053
TRIM24,0.052730715,-0.035944534,0.126,0.071,1,0.055
SLBP,0.052762073,0.06281921,0.302,0.224,1,0.078
IER3IP1.1,0.052881052,-0.080316735,0.377,0.291,1,0.086
MAGT1,0.052883733,-0.097780949,0.39,0.291,1,0.099
SLC35D2,0.053084875,0.013293104,0.208,0.138,1,0.07
FAM184A,0.053191761,0.025982185,0.113,0.059,1,0.054
ZNF467,0.05320612,0.025285521,0.107,0.055,1,0.052
CPSF3,0.05320612,0.0135793,0.107,0.055,1,0.052
RNPEPL1,0.053217843,-0.040176425,0.182,0.118,1,0.064
RIC8A,0.053479338,-0.025621724,0.22,0.15,1,0.07
ZNF146,0.053627809,0.077624311,0.17,0.106,1,0.064
TFPI2,0.053694103,-0.268354624,0.088,0.15,1,-0.062
RSU1,0.053697591,0.000668299,0.226,0.15,1,0.076
SNX4,0.053728921,0.001195387,0.151,0.091,1,0.06
TNKS2,0.05373301,-0.099032918,0.214,0.134,1,0.08
LHFPL2,0.053855036,0.167699618,0.22,0.154,1,0.066
CITED2,0.053877771,-0.205314034,0.604,0.433,1,0.171
6-Sep,0.053977828,0.122105618,0.226,0.154,1,0.072
RERE,0.054167137,0.020690173,0.27,0.189,1,0.081
SNX7,0.054181282,-0.093989758,0.176,0.106,1,0.07
PRDM1,0.054233352,-0.100001806,0.063,0.122,1,-0.059
MAP1S,0.054293901,0.01829374,0.138,0.079,1,0.059
DHX40,0.05435882,0.013226982,0.22,0.146,1,0.074
FGL2,0.054410797,-0.073767627,0.107,0.169,1,-0.062
ZBED5,0.05442943,0.006272221,0.182,0.118,1,0.064
SPTY2D1,0.05453315,0.192548002,0.264,0.193,1,0.071
ALKBH1,0.054590958,-0.10803924,0.107,0.055,1,0.052
SMAD4,0.054768233,-0.068474591,0.17,0.102,1,0.068
NT5C3B,0.054807684,0.042202036,0.22,0.154,1,0.066
MIER2,0.054849066,-0.152610004,0.063,0.122,1,-0.059
TCF12,0.054883143,0.038990201,0.208,0.138,1,0.07
KLF16,0.054885175,-0.122725478,0.176,0.11,1,0.066
FKBPL,0.054923088,-0.015764338,0.145,0.087,1,0.058
F8,0.055065321,-0.20684153,0.094,0.161,1,-0.067
ASF1A,0.055094372,0.054351306,0.157,0.094,1,0.063
ZBTB43,0.055148162,-0.185506829,0.201,0.276,1,-0.075
NAA16,0.055314116,-0.115937535,0.075,0.134,1,-0.059
CD302,0.055367351,-0.003253781,0.119,0.067,1,0.052
PRICKLE1,0.05537723,0.116500978,0.132,0.075,1,0.057
TNFRSF10D,0.055454742,-0.087871723,0.623,0.445,1,0.178
SEPW1,0.055461818,-0.48838088,0.78,0.602,1,0.178
AKIRIN2,0.055478266,-0.053342806,0.258,0.181,1,0.077
MPHOSPH6,0.055491058,0.026036587,0.145,0.083,1,0.062
TCAIM,0.055530785,-0.00409746,0.107,0.055,1,0.052
TSPAN31,0.055543016,-0.027714843,0.289,0.209,1,0.08
SRM,0.055671156,0.004079142,0.302,0.22,1,0.082
VRK3,0.055720019,0.077046212,0.145,0.087,1,0.058
ST8SIA4,0.055798919,0.007458728,0.132,0.075,1,0.057
DEDD,0.055863752,0.011141649,0.157,0.094,1,0.063
LRP10,0.055882932,-0.158400643,0.497,0.35,1,0.147
ANKRD11,0.055885409,-0.007771346,0.472,0.335,1,0.137
SMS,0.05622294,0.001628515,0.145,0.087,1,0.058
SBNO1,0.056240212,0.030837851,0.258,0.181,1,0.077
TPM1,0.056266251,-0.142360757,0.572,0.413,1,0.159
SRSF5,0.056374814,-0.024512194,0.667,0.476,1,0.191
ETV3,0.056507467,0.00833264,0.145,0.083,1,0.062
KMT2E,0.056533429,-0.06107098,0.66,0.465,1,0.195
PSMA6,0.05655515,-0.068091667,0.176,0.106,1,0.07
SEPN1,0.056584712,-0.049650322,0.289,0.205,1,0.084
G6PC3,0.056678153,-0.063260314,0.239,0.161,1,0.078
SLC30A9,0.056679125,-0.042214794,0.164,0.102,1,0.062
QRICH1,0.056754031,0.035257953,0.151,0.091,1,0.06
DIMT1,0.056818356,0.029676734,0.214,0.146,1,0.068
SH3YL1,0.056864856,-0.077992971,0.132,0.075,1,0.057
USP31,0.056997785,0.055381118,0.126,0.071,1,0.055
C19orf24,0.057179875,0.00163753,0.258,0.185,1,0.073
BCL2L12,0.057295948,-0.031686059,0.132,0.075,1,0.057
MAPRE1,0.057300082,-0.094417551,0.472,0.346,1,0.126
CCND3,0.057401747,-0.065986861,0.396,0.28,1,0.116
PRKCI,0.057503691,0.067495293,0.17,0.106,1,0.064
NME7,0.057608328,0.053451886,0.119,0.067,1,0.052
MAPK11,0.057620675,-0.078479698,0.245,0.165,1,0.08
PALMD,0.057664293,-0.206329045,0.522,0.394,1,0.128
JAM3,0.057692506,0.068553494,0.226,0.154,1,0.072
MRPS21,0.057736577,-0.054741541,0.39,0.283,1,0.107
ATF7IP,0.057833547,0.062837678,0.164,0.102,1,0.062
MPV17,0.057945017,-0.047506305,0.233,0.157,1,0.076
SAMM50,0.057975476,-0.313037887,0.208,0.272,1,-0.064
TRIM47,0.05800176,-0.03078415,0.214,0.146,1,0.068
GTF2A1,0.058018505,0.055885172,0.182,0.118,1,0.064
PSMB6,0.058068953,-0.097772984,0.497,0.366,1,0.131
YTHDF1,0.05816884,0.177730055,0.214,0.142,1,0.072
MYO15B,0.058376849,-0.01419782,0.145,0.087,1,0.058
TMEM165,0.058482025,-0.001585189,0.428,0.339,1,0.089
YY1,0.05849633,-0.124183988,0.497,0.362,1,0.135
SNHG9,0.058503011,0.010200626,0.201,0.134,1,0.067
EFCAB14,0.05855642,0.0564882,0.34,0.244,1,0.096
NUBP1,0.058652935,0.033267541,0.17,0.106,1,0.064
C5orf56,0.058756793,0.031252262,0.119,0.067,1,0.052
SUPT20H,0.058779918,-0.039426244,0.151,0.091,1,0.06
RAB3GAP2,0.058807584,-0.017091142,0.208,0.138,1,0.07
IRF3,0.058868291,-0.192934461,0.283,0.197,1,0.086
PFKFB3,0.058892798,-0.254183998,0.107,0.169,1,-0.062
METAP1,0.05893021,0.088503196,0.107,0.059,1,0.048
AP2A1,0.058946547,-0.000499222,0.164,0.098,1,0.066
ZZZ3,0.058985769,0.104478453,0.151,0.091,1,0.06
ANKRD17,0.059008651,-0.020189744,0.371,0.28,1,0.091
HSPA13,0.059065204,0.078145769,0.22,0.15,1,0.07
NKAP,0.059081894,-0.217146731,0.239,0.157,1,0.082
FAM174A,0.059165431,0.073794693,0.239,0.173,1,0.066
TSFM,0.059207809,0.257597809,0.113,0.063,1,0.05
EML4,0.059248793,-0.090996624,0.233,0.161,1,0.072
DUS1L,0.059288582,0.060340982,0.245,0.177,1,0.068
PEX19,0.059513699,0.102473044,0.138,0.083,1,0.055
PFKL,0.059544373,-0.354949596,0.34,0.386,1,-0.046
CUL4A,0.059613237,0.068843092,0.226,0.161,1,0.065
PSMD13,0.059783803,-0.093522249,0.358,0.264,1,0.094
ZC3H14,0.06004724,0.050702086,0.208,0.138,1,0.07
VSIG10,0.06015998,0.000309463,0.119,0.067,1,0.052
OSBPL9,0.060253385,0.000687348,0.214,0.138,1,0.076
U2AF2,0.060291613,0.136776278,0.233,0.157,1,0.076
CEBPZ,0.06037132,-0.117668637,0.396,0.303,1,0.093
SUMF1,0.060396524,0.049128141,0.119,0.067,1,0.052
PNP,0.060405869,-0.39329137,0.792,0.677,1,0.115
COX7A2,0.06064018,-0.323094125,0.73,0.496,1,0.234
GOLPH3,0.060727431,-0.088536418,0.333,0.248,1,0.085
SLC35B3,0.060994181,0.073691863,0.132,0.079,1,0.053
TAF8,0.061041985,0.128725309,0.138,0.083,1,0.055
GPBP1L1,0.061108208,-0.006423523,0.214,0.15,1,0.064
P2RX4,0.061393467,0.050105026,0.113,0.063,1,0.05
SLC20A1,0.061423414,-0.034619208,0.421,0.335,1,0.086
COG4,0.061503624,-0.048336346,0.157,0.094,1,0.063
MIS18BP1,0.061609703,-0.044367712,0.17,0.106,1,0.064
TFE3,0.061629849,-0.014613459,0.252,0.177,1,0.075
DESI2,0.061766515,-0.086405365,0.27,0.185,1,0.085
ARHGEF7,0.061792695,-0.025061063,0.365,0.276,1,0.089
FMNL2,0.061923896,0.000914881,0.157,0.094,1,0.063
SNX27,0.062009134,0.053020277,0.145,0.087,1,0.058
C1orf198,0.062136703,0.089575461,0.113,0.063,1,0.05
ISCA2,0.062153406,-0.040195391,0.138,0.083,1,0.055
SCAF8,0.062228458,0.005792514,0.145,0.087,1,0.058
IP6K2,0.062242167,0.051522451,0.289,0.217,1,0.072
RAB28,0.062377687,0.08062748,0.138,0.083,1,0.055
ENDOV,0.062377687,0.033194999,0.138,0.083,1,0.055
ARFIP1,0.062462196,-0.278342211,0.107,0.177,1,-0.07
PPM1D,0.062520879,-0.053631802,0.239,0.161,1,0.078
FAM35A,0.062551299,0.064962451,0.157,0.098,1,0.059
HABP4,0.062576898,-0.015449989,0.176,0.114,1,0.062
C17orf67,0.062667998,0.103557746,0.17,0.11,1,0.06
HEXA,0.062669158,0.1209979,0.384,0.287,1,0.097
